Respondent,Timestamp,Which track do you participate in?,How Often Do You Participate,Question,Answer,Numeric Answer
10025,2021/07/28 9:35:17 AM MDT,PBI,Every challenge,What do you want more of?  (Rank Your Choices) (1st),Power Query,1
10025,2021/07/28 9:35:17 AM MDT,PBI,Every challenge,I enjoy learning about new features,Strongly Agree,5
10025,2021/07/28 9:35:17 AM MDT,PBI,Every challenge,The challenges are too easy,Disagree,2
10025,2021/07/28 9:35:17 AM MDT,PBI,Every challenge,The challenges are too difficult,Agree,4
10025,2021/07/28 9:35:17 AM MDT,PBI,Every challenge,The challenges help me at work/school,Strongly Agree,5
10025,2021/07/28 9:35:17 AM MDT,PBI,Every challenge,How Often Do You Participate,Every challenge,
10025,2021/07/28 9:35:17 AM MDT,PBI,Every challenge,Which track do you participate in?,PBI,
10025,2021/07/28 9:35:17 AM MDT,PBI,Every challenge,How likely are you to recommend #WOW to friends or colleagues that are or aspire to be data practitioners?,9,9
10025,2021/07/28 9:35:17 AM MDT,PBI,Every challenge,Having Tableau and Power BI WOW challenges launch in the same week makes it more likely I will complete both,Extremely Unlikely,
10026,2021/07/28 10:11:24 AM MDT,Tableau,Every challenge,What else do you want us to know?,,
10026,2021/07/28 10:11:24 AM MDT,Tableau,Every challenge,I would be more likely to participate in WOW challenges if they were,Doesn't Matter,
10026,2021/07/28 10:11:24 AM MDT,Tableau,Every challenge,I want more cross-over with other software and/or platforms,Strongly Agree,5
10026,2021/07/28 10:11:24 AM MDT,Tableau,Every challenge,What do you want more of?  (Rank Your Choices) (7th),Power Query,7
10026,2021/07/28 10:11:24 AM MDT,Tableau,Every challenge,What do you want more of?  (Rank Your Choices) (6th),Unusual Chart Types,6
10026,2021/07/28 10:11:24 AM MDT,Tableau,Every challenge,What do you want more of?  (Rank Your Choices) (5th),Extensions,5
10026,2021/07/28 10:11:24 AM MDT,Tableau,Every challenge,What do you want more of?  (Rank Your Choices) (4th),Containers,4
10026,2021/07/28 10:11:24 AM MDT,Tableau,Every challenge,What do you want more of?  (Rank Your Choices) (3rd),Mapping,3
10026,2021/07/28 10:11:24 AM MDT,Tableau,Every challenge,What do you want more of?  (Rank Your Choices) (2nd),LODs,2
10026,2021/07/28 10:11:24 AM MDT,Tableau,Every challenge,What do you want more of?  (Rank Your Choices) (1st),Table Calcs,1
10026,2021/07/28 10:11:24 AM MDT,Tableau,Every challenge,I enjoy learning about new features,Strongly Agree,5
10026,2021/07/28 10:11:24 AM MDT,Tableau,Every challenge,The challenges are too easy,Neither Agree nor Disagree,3
10026,2021/07/28 10:11:24 AM MDT,Tableau,Every challenge,The challenges are too difficult,Neither Agree nor Disagree,3
10026,2021/07/28 10:11:24 AM MDT,Tableau,Every challenge,The challenges help me at work/school,Strongly Agree,5
10026,2021/07/28 10:11:24 AM MDT,Tableau,Every challenge,How Often Do You Participate,Every challenge,
10026,2021/07/28 10:11:24 AM MDT,Tableau,Every challenge,Which track do you participate in?,Tableau,
10026,2021/07/28 10:11:24 AM MDT,Tableau,Every challenge,How likely are you to recommend #WOW to friends or colleagues that are or aspire to be data practitioners?,10,10
10026,2021/07/28 10:11:24 AM MDT,Tableau,Every challenge,Having Tableau and Power BI WOW challenges launch in the same week makes it more likely I will complete both,N/A,3
10027,2021/07/29 1:30:19 AM MDT,PBI,Most of the Challenges,What else do you want us to know?,,
10027,2021/07/29 1:30:19 AM MDT,PBI,Most of the Challenges,I would be more likely to participate in WOW challenges if they were,Doesn't Matter,
10027,2021/07/29 1:30:19 AM MDT,PBI,Most of the Challenges,I want more cross-over with other software and/or platforms,Agree,4
10027,2021/07/29 1:30:19 AM MDT,PBI,Most of the Challenges,What do you want more of?  (Rank Your Choices) (7th),LODs,7
10027,2021/07/29 1:30:19 AM MDT,PBI,Most of the Challenges,What do you want more of?  (Rank Your Choices) (6th),Mapping,6
10027,2021/07/29 1:30:19 AM MDT,PBI,Most of the Challenges,What do you want more of?  (Rank Your Choices) (5th),Extensions,5
10027,2021/07/29 1:30:19 AM MDT,PBI,Most of the Challenges,What do you want more of?  (Rank Your Choices) (4th),Containers,4
10027,2021/07/29 1:30:19 AM MDT,PBI,Most of the Challenges,What do you want more of?  (Rank Your Choices) (3rd),Unusual Chart Types,3
10027,2021/07/29 1:30:19 AM MDT,PBI,Most of the Challenges,What do you want more of?  (Rank Your Choices) (2nd),Power Query,2
10027,2021/07/29 1:30:19 AM MDT,PBI,Most of the Challenges,What do you want more of?  (Rank Your Choices) (1st),Table Calcs,1
10027,2021/07/29 1:30:19 AM MDT,PBI,Most of the Challenges,I enjoy learning about new features,Strongly Agree,5
10027,2021/07/29 1:30:19 AM MDT,PBI,Most of the Challenges,The challenges are too easy,Neither Agree nor Disagree,3
10027,2021/07/29 1:30:19 AM MDT,PBI,Most of the Challenges,The challenges are too difficult,Neither Agree nor Disagree,3
10027,2021/07/29 1:30:19 AM MDT,PBI,Most of the Challenges,The challenges help me at work/school,Agree,4
10027,2021/07/29 1:30:19 AM MDT,PBI,Most of the Challenges,How Often Do You Participate,Most of the Challenges,
10027,2021/07/29 1:30:19 AM MDT,PBI,Most of the Challenges,Which track do you participate in?,PBI,
10027,2021/07/29 1:30:19 AM MDT,PBI,Most of the Challenges,How likely are you to recommend #WOW to friends or colleagues that are or aspire to be data practitioners?,10,10
10027,2021/07/29 1:30:19 AM MDT,PBI,Most of the Challenges,Having Tableau and Power BI WOW challenges launch in the same week makes it more likely I will complete both,N/A,3
10028,2021/07/30 8:58:00 AM MDT,Tableau,Every challenge,What else do you want us to know?,,
10028,2021/07/30 8:58:00 AM MDT,Tableau,Every challenge,I would be more likely to participate in WOW challenges if they were,Weekly,
10028,2021/07/30 8:58:00 AM MDT,Tableau,Every challenge,I want more cross-over with other software and/or platforms,Agree,4
10028,2021/07/30 8:58:00 AM MDT,Tableau,Every challenge,What do you want more of?  (Rank Your Choices) (7th),Extensions,7
10028,2021/07/30 8:58:00 AM MDT,Tableau,Every challenge,What do you want more of?  (Rank Your Choices) (6th),Extensions,6
10028,2021/07/30 8:58:00 AM MDT,Tableau,Every challenge,What do you want more of?  (Rank Your Choices) (5th),Mapping,5
10028,2021/07/30 8:58:00 AM MDT,Tableau,Every challenge,What do you want more of?  (Rank Your Choices) (4th),Power Query,4
10028,2021/07/30 8:58:00 AM MDT,Tableau,Every challenge,What do you want more of?  (Rank Your Choices) (3rd),LODs,3
10028,2021/07/30 8:58:00 AM MDT,Tableau,Every challenge,What do you want more of?  (Rank Your Choices) (2nd),Table Calcs,2
10028,2021/07/30 8:58:00 AM MDT,Tableau,Every challenge,What do you want more of?  (Rank Your Choices) (1st),Unusual Chart Types,1
10028,2021/07/30 8:58:00 AM MDT,Tableau,Every challenge,I enjoy learning about new features,Strongly Agree,5
10028,2021/07/30 8:58:00 AM MDT,Tableau,Every challenge,The challenges are too easy,Neither Agree nor Disagree,3
10028,2021/07/30 8:58:00 AM MDT,Tableau,Every challenge,The challenges are too difficult,Neither Agree nor Disagree,3
10028,2021/07/30 8:58:00 AM MDT,Tableau,Every challenge,The challenges help me at work/school,Strongly Agree,5
10028,2021/07/30 8:58:00 AM MDT,Tableau,Every challenge,How Often Do You Participate,Every challenge,
10028,2021/07/30 8:58:00 AM MDT,Tableau,Every challenge,Which track do you participate in?,Tableau,
10028,2021/07/30 8:58:00 AM MDT,Tableau,Every challenge,How likely are you to recommend #WOW to friends or colleagues that are or aspire to be data practitioners?,10,10
10028,2021/07/30 8:58:00 AM MDT,Tableau,Every challenge,Having Tableau and Power BI WOW challenges launch in the same week makes it more likely I will complete both,N/A,3
10029,2021/07/30 8:59:30 AM MDT,Both,Most of the Challenges,What else do you want us to know?,"I recently started using Power BI and I loved having the challenges to work through, both to try on my own and learn from the sample videos. ",
10029,2021/07/30 8:59:30 AM MDT,Both,Most of the Challenges,I would be more likely to participate in WOW challenges if they were,Weekly,
10029,2021/07/30 8:59:30 AM MDT,Both,Most of the Challenges,I want more cross-over with other software and/or platforms,Disagree,2
10029,2021/07/30 8:59:30 AM MDT,Both,Most of the Challenges,What do you want more of?  (Rank Your Choices) (7th),Unusual Chart Types,7
10029,2021/07/30 8:59:30 AM MDT,Both,Most of the Challenges,What do you want more of?  (Rank Your Choices) (6th),Extensions,6
10029,2021/07/30 8:59:30 AM MDT,Both,Most of the Challenges,What do you want more of?  (Rank Your Choices) (5th),Mapping,5
10029,2021/07/30 8:59:30 AM MDT,Both,Most of the Challenges,What do you want more of?  (Rank Your Choices) (4th),Power Query,4
10029,2021/07/30 8:59:30 AM MDT,Both,Most of the Challenges,What do you want more of?  (Rank Your Choices) (3rd),Containers,3
10029,2021/07/30 8:59:30 AM MDT,Both,Most of the Challenges,What do you want more of?  (Rank Your Choices) (2nd),LODs,2
10029,2021/07/30 8:59:30 AM MDT,Both,Most of the Challenges,What do you want more of?  (Rank Your Choices) (1st),Table Calcs,1
10029,2021/07/30 8:59:30 AM MDT,Both,Most of the Challenges,I enjoy learning about new features,Agree,4
10029,2021/07/30 8:59:30 AM MDT,Both,Most of the Challenges,The challenges are too easy,Neither Agree nor Disagree,3
10029,2021/07/30 8:59:30 AM MDT,Both,Most of the Challenges,The challenges are too difficult,Neither Agree nor Disagree,3
10029,2021/07/30 8:59:30 AM MDT,Both,Most of the Challenges,The challenges help me at work/school,Strongly Agree,5
10029,2021/07/30 8:59:30 AM MDT,Both,Most of the Challenges,How Often Do You Participate,Most of the Challenges,
10029,2021/07/30 8:59:30 AM MDT,Both,Most of the Challenges,Which track do you participate in?,Both,
10029,2021/07/30 8:59:30 AM MDT,Both,Most of the Challenges,How likely are you to recommend #WOW to friends or colleagues that are or aspire to be data practitioners?,10,10
10029,2021/07/30 8:59:30 AM MDT,Both,Most of the Challenges,Having Tableau and Power BI WOW challenges launch in the same week makes it more likely I will complete both,Likely,
10030,2021/07/30 9:03:44 AM MDT,Tableau,Some of the Challenges,What else do you want us to know?,Great job team. I love #WOW,
10030,2021/07/30 9:03:44 AM MDT,Tableau,Some of the Challenges,I would be more likely to participate in WOW challenges if they were,Doesn't Matter,
10030,2021/07/30 9:03:44 AM MDT,Tableau,Some of the Challenges,I want more cross-over with other software and/or platforms,Neither Agree nor Disagree,3
10030,2021/07/30 9:03:44 AM MDT,Tableau,Some of the Challenges,What do you want more of?  (Rank Your Choices) (7th),Unusual Chart Types,7
10030,2021/07/30 9:03:44 AM MDT,Tableau,Some of the Challenges,What do you want more of?  (Rank Your Choices) (6th),Power Query,6
10030,2021/07/30 9:03:44 AM MDT,Tableau,Some of the Challenges,What do you want more of?  (Rank Your Choices) (5th),Mapping,5
10030,2021/07/30 9:03:44 AM MDT,Tableau,Some of the Challenges,What do you want more of?  (Rank Your Choices) (4th),Containers,4
10030,2021/07/30 9:03:44 AM MDT,Tableau,Some of the Challenges,What do you want more of?  (Rank Your Choices) (3rd),Extensions,3
10030,2021/07/30 9:03:44 AM MDT,Tableau,Some of the Challenges,What do you want more of?  (Rank Your Choices) (2nd),LODs,2
10030,2021/07/30 9:03:44 AM MDT,Tableau,Some of the Challenges,What do you want more of?  (Rank Your Choices) (1st),Table Calcs,1
10030,2021/07/30 9:03:44 AM MDT,Tableau,Some of the Challenges,I enjoy learning about new features,Strongly Agree,5
10030,2021/07/30 9:03:44 AM MDT,Tableau,Some of the Challenges,The challenges are too easy,Disagree,2
10030,2021/07/30 9:03:44 AM MDT,Tableau,Some of the Challenges,The challenges are too difficult,Agree,4
10030,2021/07/30 9:03:44 AM MDT,Tableau,Some of the Challenges,The challenges help me at work/school,Strongly Agree,5
10030,2021/07/30 9:03:44 AM MDT,Tableau,Some of the Challenges,How Often Do You Participate,Some of the Challenges,
10030,2021/07/30 9:03:44 AM MDT,Tableau,Some of the Challenges,Which track do you participate in?,Tableau,
10030,2021/07/30 9:03:44 AM MDT,Tableau,Some of the Challenges,How likely are you to recommend #WOW to friends or colleagues that are or aspire to be data practitioners?,10,10
10030,2021/07/30 9:03:44 AM MDT,Tableau,Some of the Challenges,Having Tableau and Power BI WOW challenges launch in the same week makes it more likely I will complete both,Neutral,
10031,2021/07/30 9:07:00 AM MDT,Tableau,Some of the Challenges,What else do you want us to know?,I think both Tableau and WOW ought to make it more apparent that activities like WOW and Makeover Mondays are THE training vehicle for certification and that spending the year activating on these items is the most significant pathway towards acquiring the necessary expertise to rawwwwwk on the exam,
10031,2021/07/30 9:07:00 AM MDT,Tableau,Some of the Challenges,I would be more likely to participate in WOW challenges if they were,Doesn't Matter,
10031,2021/07/30 9:07:00 AM MDT,Tableau,Some of the Challenges,I want more cross-over with other software and/or platforms,Strongly Agree,5
10031,2021/07/30 9:07:00 AM MDT,Tableau,Some of the Challenges,What do you want more of?  (Rank Your Choices) (7th),Table Calcs,7
10031,2021/07/30 9:07:00 AM MDT,Tableau,Some of the Challenges,What do you want more of?  (Rank Your Choices) (6th),LODs,6
10031,2021/07/30 9:07:00 AM MDT,Tableau,Some of the Challenges,What do you want more of?  (Rank Your Choices) (5th),Containers,5
10031,2021/07/30 9:07:00 AM MDT,Tableau,Some of the Challenges,What do you want more of?  (Rank Your Choices) (4th),Mapping,4
10031,2021/07/30 9:07:00 AM MDT,Tableau,Some of the Challenges,What do you want more of?  (Rank Your Choices) (3rd),Extensions,3
10031,2021/07/30 9:07:00 AM MDT,Tableau,Some of the Challenges,What do you want more of?  (Rank Your Choices) (2nd),Power Query,2
10031,2021/07/30 9:07:00 AM MDT,Tableau,Some of the Challenges,What do you want more of?  (Rank Your Choices) (1st),Unusual Chart Types,1
10031,2021/07/30 9:07:00 AM MDT,Tableau,Some of the Challenges,I enjoy learning about new features,Strongly Agree,5
10031,2021/07/30 9:07:00 AM MDT,Tableau,Some of the Challenges,The challenges are too easy,Neither Agree nor Disagree,3
10031,2021/07/30 9:07:00 AM MDT,Tableau,Some of the Challenges,The challenges are too difficult,Neither Agree nor Disagree,3
10031,2021/07/30 9:07:00 AM MDT,Tableau,Some of the Challenges,The challenges help me at work/school,Strongly Agree,5
10031,2021/07/30 9:07:00 AM MDT,Tableau,Some of the Challenges,How Often Do You Participate,Some of the Challenges,
10031,2021/07/30 9:07:00 AM MDT,Tableau,Some of the Challenges,Which track do you participate in?,Tableau,
10031,2021/07/30 9:07:00 AM MDT,Tableau,Some of the Challenges,How likely are you to recommend #WOW to friends or colleagues that are or aspire to be data practitioners?,10,10
10031,2021/07/30 9:07:00 AM MDT,Tableau,Some of the Challenges,Having Tableau and Power BI WOW challenges launch in the same week makes it more likely I will complete both,N/A,3
10032,2021/07/30 9:10:52 AM MDT,Tableau,Every challenge,What else do you want us to know?,The new submission tracking visualization is confusing and hard to tell if I actually submitted my work. That’s one of the things I appreciate about the Makeover Monday tracker.,
10032,2021/07/30 9:10:52 AM MDT,Tableau,Every challenge,I would be more likely to participate in WOW challenges if they were,Weekly,
10032,2021/07/30 9:10:52 AM MDT,Tableau,Every challenge,I want more cross-over with other software and/or platforms,Neither Agree nor Disagree,3
10032,2021/07/30 9:10:52 AM MDT,Tableau,Every challenge,What do you want more of?  (Rank Your Choices) (7th),Power Query,7
10032,2021/07/30 9:10:52 AM MDT,Tableau,Every challenge,What do you want more of?  (Rank Your Choices) (6th),Containers,6
10032,2021/07/30 9:10:52 AM MDT,Tableau,Every challenge,What do you want more of?  (Rank Your Choices) (5th),Mapping,5
10032,2021/07/30 9:10:52 AM MDT,Tableau,Every challenge,What do you want more of?  (Rank Your Choices) (4th),Extensions,4
10032,2021/07/30 9:10:52 AM MDT,Tableau,Every challenge,What do you want more of?  (Rank Your Choices) (3rd),Table Calcs,3
10032,2021/07/30 9:10:52 AM MDT,Tableau,Every challenge,What do you want more of?  (Rank Your Choices) (2nd),LODs,2
10032,2021/07/30 9:10:52 AM MDT,Tableau,Every challenge,What do you want more of?  (Rank Your Choices) (1st),Unusual Chart Types,1
10032,2021/07/30 9:10:52 AM MDT,Tableau,Every challenge,I enjoy learning about new features,Strongly Agree,5
10032,2021/07/30 9:10:52 AM MDT,Tableau,Every challenge,The challenges are too easy,Agree,4
10032,2021/07/30 9:10:52 AM MDT,Tableau,Every challenge,The challenges are too difficult,Disagree,2
10032,2021/07/30 9:10:52 AM MDT,Tableau,Every challenge,The challenges help me at work/school,Agree,4
10032,2021/07/30 9:10:52 AM MDT,Tableau,Every challenge,How Often Do You Participate,Every challenge,
10032,2021/07/30 9:10:52 AM MDT,Tableau,Every challenge,Which track do you participate in?,Tableau,
10032,2021/07/30 9:10:52 AM MDT,Tableau,Every challenge,How likely are you to recommend #WOW to friends or colleagues that are or aspire to be data practitioners?,9,9
10032,2021/07/30 9:10:52 AM MDT,Tableau,Every challenge,Having Tableau and Power BI WOW challenges launch in the same week makes it more likely I will complete both,N/A,3
10033,2021/07/30 9:43:11 AM MDT,Tableau,Every Once in Awhile,What else do you want us to know?,,
10033,2021/07/30 9:43:11 AM MDT,Tableau,Every Once in Awhile,I would be more likely to participate in WOW challenges if they were,Bi-Weekly,
10033,2021/07/30 9:43:11 AM MDT,Tableau,Every Once in Awhile,I want more cross-over with other software and/or platforms,Disagree,2
10033,2021/07/30 9:43:11 AM MDT,Tableau,Every Once in Awhile,What do you want more of?  (Rank Your Choices) (7th),Power Query,7
10033,2021/07/30 9:43:11 AM MDT,Tableau,Every Once in Awhile,What do you want more of?  (Rank Your Choices) (6th),Extensions,6
10033,2021/07/30 9:43:11 AM MDT,Tableau,Every Once in Awhile,What do you want more of?  (Rank Your Choices) (5th),Unusual Chart Types,5
10033,2021/07/30 9:43:11 AM MDT,Tableau,Every Once in Awhile,What do you want more of?  (Rank Your Choices) (4th),Table Calcs,4
10033,2021/07/30 9:43:11 AM MDT,Tableau,Every Once in Awhile,What do you want more of?  (Rank Your Choices) (3rd),LODs,3
10033,2021/07/30 9:43:11 AM MDT,Tableau,Every Once in Awhile,What do you want more of?  (Rank Your Choices) (2nd),Mapping,2
10033,2021/07/30 9:43:11 AM MDT,Tableau,Every Once in Awhile,What do you want more of?  (Rank Your Choices) (1st),Containers,1
10033,2021/07/30 9:43:11 AM MDT,Tableau,Every Once in Awhile,I enjoy learning about new features,Strongly Agree,5
10033,2021/07/30 9:43:11 AM MDT,Tableau,Every Once in Awhile,The challenges are too easy,Strongly Disagree,1
10033,2021/07/30 9:43:11 AM MDT,Tableau,Every Once in Awhile,The challenges are too difficult,Agree,4
10033,2021/07/30 9:43:11 AM MDT,Tableau,Every Once in Awhile,The challenges help me at work/school,Strongly Agree,5
10033,2021/07/30 9:43:11 AM MDT,Tableau,Every Once in Awhile,How Often Do You Participate,Every Once in Awhile,
10033,2021/07/30 9:43:11 AM MDT,Tableau,Every Once in Awhile,Which track do you participate in?,Tableau,
10033,2021/07/30 9:43:11 AM MDT,Tableau,Every Once in Awhile,How likely are you to recommend #WOW to friends or colleagues that are or aspire to be data practitioners?,9,9
10033,2021/07/30 9:43:11 AM MDT,Tableau,Every Once in Awhile,Having Tableau and Power BI WOW challenges launch in the same week makes it more likely I will complete both,Neutral,
10034,2021/07/30 9:52:29 AM MDT,Both,Never,What else do you want us to know?,"I'm a Tableau Server administrator and I rarely create workbooks, however, I have a couple thousand users and when they are looking for additional training I point them to WOW and MOM as points of interest to help build their skills.",
10034,2021/07/30 9:52:29 AM MDT,Both,Never,I would be more likely to participate in WOW challenges if they were,Doesn't Matter,
10034,2021/07/30 9:52:29 AM MDT,Both,Never,I want more cross-over with other software and/or platforms,Neither Agree nor Disagree,3
10034,2021/07/30 9:52:29 AM MDT,Both,Never,What do you want more of?  (Rank Your Choices) (7th),LODs,7
10034,2021/07/30 9:52:29 AM MDT,Both,Never,What do you want more of?  (Rank Your Choices) (6th),LODs,6
10034,2021/07/30 9:52:29 AM MDT,Both,Never,What do you want more of?  (Rank Your Choices) (5th),LODs,5
10034,2021/07/30 9:52:29 AM MDT,Both,Never,What do you want more of?  (Rank Your Choices) (4th),LODs,4
10034,2021/07/30 9:52:29 AM MDT,Both,Never,What do you want more of?  (Rank Your Choices) (3rd),LODs,3
10034,2021/07/30 9:52:29 AM MDT,Both,Never,What do you want more of?  (Rank Your Choices) (2nd),LODs,2
10034,2021/07/30 9:52:29 AM MDT,Both,Never,What do you want more of?  (Rank Your Choices) (1st),LODs,1
10034,2021/07/30 9:52:29 AM MDT,Both,Never,I enjoy learning about new features,Agree,4
10034,2021/07/30 9:52:29 AM MDT,Both,Never,The challenges are too easy,N/A,3
10034,2021/07/30 9:52:29 AM MDT,Both,Never,The challenges are too difficult,N/A,3
10034,2021/07/30 9:52:29 AM MDT,Both,Never,The challenges help me at work/school,N/A,3
10034,2021/07/30 9:52:29 AM MDT,Both,Never,How Often Do You Participate,Never,
10034,2021/07/30 9:52:29 AM MDT,Both,Never,Which track do you participate in?,Both,
10034,2021/07/30 9:52:29 AM MDT,Both,Never,How likely are you to recommend #WOW to friends or colleagues that are or aspire to be data practitioners?,10,10
10034,2021/07/30 9:52:29 AM MDT,Both,Never,Having Tableau and Power BI WOW challenges launch in the same week makes it more likely I will complete both,Neutral,
10035,2021/07/30 9:53:22 AM MDT,Tableau,Every Once in Awhile,What else do you want us to know?,"Segmented out section for beginners or by job description levels (I.e. analysts, developer, sr analyst). I enjoy watching the solution videos when they are posted",
10035,2021/07/30 9:53:22 AM MDT,Tableau,Every Once in Awhile,I would be more likely to participate in WOW challenges if they were,Bi-Weekly,
10035,2021/07/30 9:53:22 AM MDT,Tableau,Every Once in Awhile,I want more cross-over with other software and/or platforms,Neither Agree nor Disagree,3
10035,2021/07/30 9:53:22 AM MDT,Tableau,Every Once in Awhile,What do you want more of?  (Rank Your Choices) (7th),Unusual Chart Types,7
10035,2021/07/30 9:53:22 AM MDT,Tableau,Every Once in Awhile,What do you want more of?  (Rank Your Choices) (6th),Power Query,6
10035,2021/07/30 9:53:22 AM MDT,Tableau,Every Once in Awhile,What do you want more of?  (Rank Your Choices) (5th),Containers,5
10035,2021/07/30 9:53:22 AM MDT,Tableau,Every Once in Awhile,What do you want more of?  (Rank Your Choices) (4th),Extensions,4
10035,2021/07/30 9:53:22 AM MDT,Tableau,Every Once in Awhile,What do you want more of?  (Rank Your Choices) (3rd),Mapping,3
10035,2021/07/30 9:53:22 AM MDT,Tableau,Every Once in Awhile,What do you want more of?  (Rank Your Choices) (2nd),Table Calcs,2
10035,2021/07/30 9:53:22 AM MDT,Tableau,Every Once in Awhile,What do you want more of?  (Rank Your Choices) (1st),LODs,1
10035,2021/07/30 9:53:22 AM MDT,Tableau,Every Once in Awhile,I enjoy learning about new features,Strongly Agree,5
10035,2021/07/30 9:53:22 AM MDT,Tableau,Every Once in Awhile,The challenges are too easy,Disagree,2
10035,2021/07/30 9:53:22 AM MDT,Tableau,Every Once in Awhile,The challenges are too difficult,Agree,4
10035,2021/07/30 9:53:22 AM MDT,Tableau,Every Once in Awhile,The challenges help me at work/school,N/A,3
10035,2021/07/30 9:53:22 AM MDT,Tableau,Every Once in Awhile,How Often Do You Participate,Every Once in Awhile,
10035,2021/07/30 9:53:22 AM MDT,Tableau,Every Once in Awhile,Which track do you participate in?,Tableau,
10035,2021/07/30 9:53:22 AM MDT,Tableau,Every Once in Awhile,How likely are you to recommend #WOW to friends or colleagues that are or aspire to be data practitioners?,10,10
10035,2021/07/30 9:53:22 AM MDT,Tableau,Every Once in Awhile,Having Tableau and Power BI WOW challenges launch in the same week makes it more likely I will complete both,N/A,3
10036,2021/07/30 10:19:38 AM MDT,Tableau,Every Once in Awhile,What else do you want us to know?,I appreciate the time and effort put into making these.  I would like walkthrough videos on more of them.,
10036,2021/07/30 10:19:38 AM MDT,Tableau,Every Once in Awhile,I would be more likely to participate in WOW challenges if they were,Doesn't Matter,
10036,2021/07/30 10:19:38 AM MDT,Tableau,Every Once in Awhile,I want more cross-over with other software and/or platforms,Disagree,2
10036,2021/07/30 10:19:38 AM MDT,Tableau,Every Once in Awhile,What do you want more of?  (Rank Your Choices) (7th),Power Query,7
10036,2021/07/30 10:19:38 AM MDT,Tableau,Every Once in Awhile,What do you want more of?  (Rank Your Choices) (6th),Containers,6
10036,2021/07/30 10:19:38 AM MDT,Tableau,Every Once in Awhile,What do you want more of?  (Rank Your Choices) (5th),LODs,5
10036,2021/07/30 10:19:38 AM MDT,Tableau,Every Once in Awhile,What do you want more of?  (Rank Your Choices) (4th),Table Calcs,4
10036,2021/07/30 10:19:38 AM MDT,Tableau,Every Once in Awhile,What do you want more of?  (Rank Your Choices) (3rd),Mapping,3
10036,2021/07/30 10:19:38 AM MDT,Tableau,Every Once in Awhile,What do you want more of?  (Rank Your Choices) (2nd),Extensions,2
10036,2021/07/30 10:19:38 AM MDT,Tableau,Every Once in Awhile,What do you want more of?  (Rank Your Choices) (1st),Unusual Chart Types,1
10036,2021/07/30 10:19:38 AM MDT,Tableau,Every Once in Awhile,I enjoy learning about new features,Strongly Agree,5
10036,2021/07/30 10:19:38 AM MDT,Tableau,Every Once in Awhile,The challenges are too easy,Disagree,2
10036,2021/07/30 10:19:38 AM MDT,Tableau,Every Once in Awhile,The challenges are too difficult,Neither Agree nor Disagree,3
10036,2021/07/30 10:19:38 AM MDT,Tableau,Every Once in Awhile,The challenges help me at work/school,Agree,4
10036,2021/07/30 10:19:38 AM MDT,Tableau,Every Once in Awhile,How Often Do You Participate,Every Once in Awhile,
10036,2021/07/30 10:19:38 AM MDT,Tableau,Every Once in Awhile,Which track do you participate in?,Tableau,
10036,2021/07/30 10:19:38 AM MDT,Tableau,Every Once in Awhile,How likely are you to recommend #WOW to friends or colleagues that are or aspire to be data practitioners?,10,10
10036,2021/07/30 10:19:38 AM MDT,Tableau,Every Once in Awhile,Having Tableau and Power BI WOW challenges launch in the same week makes it more likely I will complete both,N/A,3
10037,2021/07/30 12:28:39 PM MDT,Tableau,Some of the Challenges,What else do you want us to know?,,
10037,2021/07/30 12:28:39 PM MDT,Tableau,Some of the Challenges,I would be more likely to participate in WOW challenges if they were,Doesn't Matter,
10037,2021/07/30 12:28:39 PM MDT,Tableau,Some of the Challenges,I want more cross-over with other software and/or platforms,Neither Agree nor Disagree,3
10037,2021/07/30 12:28:39 PM MDT,Tableau,Some of the Challenges,What do you want more of?  (Rank Your Choices) (7th),Unusual Chart Types,7
10037,2021/07/30 12:28:39 PM MDT,Tableau,Some of the Challenges,What do you want more of?  (Rank Your Choices) (6th),Extensions,6
10037,2021/07/30 12:28:39 PM MDT,Tableau,Some of the Challenges,What do you want more of?  (Rank Your Choices) (5th),Power Query,5
10037,2021/07/30 12:28:39 PM MDT,Tableau,Some of the Challenges,What do you want more of?  (Rank Your Choices) (4th),Mapping,4
10037,2021/07/30 12:28:39 PM MDT,Tableau,Some of the Challenges,What do you want more of?  (Rank Your Choices) (3rd),Containers,3
10037,2021/07/30 12:28:39 PM MDT,Tableau,Some of the Challenges,What do you want more of?  (Rank Your Choices) (2nd),LODs,2
10037,2021/07/30 12:28:39 PM MDT,Tableau,Some of the Challenges,What do you want more of?  (Rank Your Choices) (1st),Table Calcs,1
10037,2021/07/30 12:28:39 PM MDT,Tableau,Some of the Challenges,I enjoy learning about new features,Strongly Agree,5
10037,2021/07/30 12:28:39 PM MDT,Tableau,Some of the Challenges,The challenges are too easy,Disagree,2
10037,2021/07/30 12:28:39 PM MDT,Tableau,Some of the Challenges,The challenges are too difficult,Neither Agree nor Disagree,3
10037,2021/07/30 12:28:39 PM MDT,Tableau,Some of the Challenges,The challenges help me at work/school,Strongly Agree,5
10037,2021/07/30 12:28:39 PM MDT,Tableau,Some of the Challenges,How Often Do You Participate,Some of the Challenges,
10037,2021/07/30 12:28:39 PM MDT,Tableau,Some of the Challenges,Which track do you participate in?,Tableau,
10037,2021/07/30 12:28:39 PM MDT,Tableau,Some of the Challenges,How likely are you to recommend #WOW to friends or colleagues that are or aspire to be data practitioners?,9,9
